section_scope,n,mean,median,min,max,pct_near_zero_le_0_05,pct_high_ge_0_80
shared,6051,0.18304017517765658,0.0,0.0,1.0,0.540406544372831,0.0019831432821021317
collected,6051,0.4607159312510329,0.4788,0.0,1.0,0.029416625351181624,0.011568335812262435
