Category,count,mean,median,std
closet inventory,1,0.2888888888888889,0.2888888888888889,
finance tracker,5,0.28888888888888886,0.3388888888888889,0.09035253315161441
social,14,0.28888888888888886,0.2888888888888889,0.0647516990210748
Comics,30,0.28888888888888886,0.2694444444444445,0.15413969768597757
terminal,16,0.2881944444444445,0.2777777777777778,0.14231876063832777
budgeting,14,0.28809523809523807,0.29166666666666663,0.10545107611239814
meditation guide,16,0.28784722222222225,0.2666666666666667,0.140782918874818
rhetoric training,16,0.28784722222222225,0.2611111111111111,0.1513073174733716
satellite tracking apps,8,0.28750000000000003,0.2694444444444445,0.1159178539035964
navigation aid,12,0.28750000000000003,0.2583333333333333,0.12370825260290881
soundboard apps,14,0.2869047619047619,0.28055555555555556,0.1551828126169433
digital business card,6,0.28611111111111115,0.2777777777777778,0.05530499050997697
brainwave generator,11,0.28535353535353536,0.3,0.11921224788121972
business,12,0.2851851851851852,0.2694444444444445,0.12068206212903256
town hall apps,17,0.28398692810457515,0.2722222222222223,0.13482788458038344
livestock management,20,0.2838888888888889,0.29444444444444445,0.11838610414918019
pets,20,0.28361111111111115,0.24166666666666664,0.11970392052891794
public services,18,0.28271604938271605,0.26111111111111107,0.1386322974743251
character creator,14,0.28214285714285714,0.2277777777777778,0.10633268965832766
deals,9,0.2820987654320988,0.2722222222222223,0.0793383993955997
crypto wallet,13,0.28205128205128205,0.2333333333333333,0.12414634116004038
offline maps,18,0.28148148148148144,0.25,0.10231524610758969
micro journal apps,11,0.28131313131313135,0.25,0.16313428398958515
3D printing slicer remote,17,0.28104575163398693,0.2277777777777778,0.15530807227249738
automotive,18,0.28086419753086417,0.2638888888888889,0.10820081088641922
sleep soundscape generator,9,0.28024691358024695,0.2666666666666667,0.134517631339871
fishing tracker,23,0.2792270531400966,0.2722222222222223,0.10381631169969402
comic panel maker,7,0.2785714285714286,0.2388888888888889,0.10027885869062303
geology field tools,15,0.27814814814814814,0.2777777777777778,0.09365841597534091
voice changer,20,0.27805555555555556,0.24722222222222223,0.1314743086202034
wildlife tracker,12,0.2777777777777778,0.2833333333333333,0.09469663299603441
currency converter pro,1,0.2777777777777778,0.2777777777777778,
