Operation,any_mis_app,any_under_app,any_over_app,N_apps,misalign_rate_app,under_rate_app,over_rate_app
collected,6023,5445,3921,6051,0.9953726656750951,0.8998512642538423,0.6479920674268715
shared,5971,5604,2140,6051,0.9867790447859858,0.9261279127416956,0.35366055197488017
