score,n_apps,above_0_70_count,above_0_70_percent,low_count,low_percent,medium_count,medium_percent,high_count,high_percent
SRS-C,6051,86,0.014212526855065279,2649,0.4377788795240456,3316,0.5480085936208892,86,0.014212526855065279
SRS-S,6051,177,0.029251363411006447,3176,0.5248719219963642,2698,0.44587671459262934,177,0.029251363411006447
SRS-O,6051,73,0.012064121632787968,3023,0.49958684514956203,2955,0.48834903321765,73,0.012064121632787968
SRS-O-weighted,6051,71,0.011733597752437614,3002,0.4961163444058833,2971,0.49099322426045283,78,0.012890431333663858
