Operation,is_mis,is_under,is_over,N_cells,misalign_rate,under_rate,over_rate,agree_rate
collected,28066,20054,8012,84714,0.33130297235403827,0.23672592487664376,0.09457704747739452,0.6686970276459617
shared,26322,22060,4262,84714,0.3107160563779304,0.2604056000188871,0.05031045635904337,0.6892839436220696
